,# overlap (max 30),overlapping words
Are theories of learning necessary BF Skinner.pdf,3,"{'theory', 'process', 'time'}"
BF Skinner BF Skinner.pdf,2,"{'time', 'many'}"
Contingencies of reinforcement A theoretical analysis BF Skinner.pdf,2,"{'given', 'time'}"
Language and Thought of the Child Selected Works vol V J Piaget.pdf,6,"{'fact', 'point', 'question', 'view', 'see', 'case'}"
Models of discovery And other topics in the methods of science HA Simon.pdf,7,"{'theory', 'processes', 'process', 'time', 'given', 'see', 'case'}"
Neurophenomenology A methodological remedy for the hard problem FJ Varela.pdf,2,"{'time', 'point'}"
On becoming aware A pragmatics of experiencing. NE Depraz_FJ Varela_PE Vermersch.pdf,7,"{'fact', 'sense', 'point', 'means', 'question', 'time', 'view'}"
Redrawing the Map and Resetting the Time Phenomenology and the Cognitive Sciences S Gallagher_FJ Varela.pdf,4,"{'theory', 'movement', 'time', 'sense'}"
Resonant cell assemblies a new approach to cognitive functions and neuronal synchrony FJ Varela.pdf,2,"{'process', 'time'}"
Review Lecture The technology of teaching BF Skinner.pdf,1,{'time'}
Rules and representations N Chomsky.pdf,5,"{'theory', 'sense', 'question', 'different', 'case'}"
The behavior of organisms An experimental analysis BF Skinner.pdf,3,"{'given', 'time', 'case'}"
The brains concepts The role of the sensory motor system in conceptual knowledge V Gallese_G Lakoff.pdf,2,"{'theory', 'see'}"
The childs conception of physical causality J Piaget.pdf,2,"{'movement', 'point'}"
The ecological approach to visual perception JJ Gibson.pdf,1,{'point'}
The embodied mind revised edition Cognitive science and human experience FJ Varela_E Thompson_E Rosch.pdf,6,"{'body', 'theory', 'point', 'sense', 'view', 'see'}"
The knowledge level A Newell.pdf,4,"{'physical', 'given', 'view', 'many'}"
The operational analysis of psychological terms BF Skinner.pdf,4,"{'fact', 'see', 'time', 'case'}"
The psychology of the child J Piaget_B Inhelder.pdf,2,"{'means', 'time'}"
The senses considered as perceptual systems JJ Gibson_L Carmichael.pdf,6,"{'body', 'fact', 'sense', 'eyes', 'different', 'sensations'}"
Vocabulary development A morphological analysis JM Anglin_GA Miller_PC Wakefield.pdf,1,{'different'}
